"Start","Stop"
20 Sep 2001 00:00:00.00,27 Sep 2001 00:00:00.00
"Time (UTCG)","Azimuth (deg)","Elevation (deg)","Range (km)"
22 Sep 2001 17:19:44.44,199.591,-42.000,655.986206
22 Sep 2001 23:23:47.11,308.991,-42.000,655.986206
22 Sep 2001 23:24:47.00,251.199,-47.533,586.398188
22 Sep 2001 23:25:12.69,229.925,-42.000,655.986206
23 Sep 2001 00:55:11.81,8.878,-42.000,655.986206
23 Sep 2001 00:56:11.00,56.314,-77.000,432.040379
23 Sep 2001 00:57:11.00,167.159,-47.964,581.870773
23 Sep 2001 00:57:24.81,169.611,-42.000,655.986204
23 Sep 2001 16:28:16.60,13.783,-42.000,655.986205
23 Sep 2001 16:29:16.00,68.107,-74.229,437.819168
23 Sep 2001 16:30:16.00,164.954,-47.050,591.592156
23 Sep 2001 16:30:28.07,167.744,-42.000,655.986204
23 Sep 2001 18:00:26.05,313.718,-42.000,655.986204
23 Sep 2001 18:01:26.00,254.658,-49.374,567.849248
23 Sep 2001 18:01:58.03,227.394,-42.000,655.986209
24 Sep 2001 00:05:58.23,337.347,-42.000,655.986209
24 Sep 2001 00:06:58.00,275.280,-66.530,461.015951
24 Sep 2001 00:07:58.00,203.060,-43.866,629.831985
24 Sep 2001 00:08:03.01,201.346,-42.000,655.986209
24 Sep 2001 01:38:11.93,42.749,-42.000,655.986206
24 Sep 2001 01:39:11.00,101.331,-51.336,550.087643
24 Sep 2001 01:39:50.00,135.616,-42.000,655.986207
24 Sep 2001 15:39:18.86,57.741,-42.000,655.986205
24 Sep 2001 15:40:18.00,112.149,-44.798,617.870360
24 Sep 2001 15:40:32.84,123.918,-42.000,655.986204
24 Sep 2001 17:10:54.60,345.960,-42.000,655.986208
24 Sep 2001 17:11:54.00,289.148,-72.786,441.333934
24 Sep 2001 17:12:54.00,198.164,-46.443,598.338318
24 Sep 2001 17:13:04.82,195.400,-42.000,655.986208
24 Sep 2001 23:17:11.98,303.706,-42.000,655.986206
24 Sep 2001 23:18:11.00,248.588,-45.229,612.568340
24 Sep 2001 23:18:27.60,235.248,-42.000,655.986204
25 Sep 2001 00:48:29.31,4.368,-42.000,655.986204
25 Sep 2001 00:49:29.00,38.069,-80.647,426.268117
25 Sep 2001 00:50:29.00,172.738,-48.461,576.803573
25 Sep 2001 00:50:43.62,174.146,-42.000,655.986206
25 Sep 2001 16:21:35.96,18.571,-42.000,655.986204
25 Sep 2001 16:22:35.00,76.522,-69.989,449.201617
25 Sep 2001 16:23:35.00,160.137,-45.773,606.060201
25 Sep 2001 16:23:44.51,162.979,-42.000,655.986206
25 Sep 2001 17:53:41.86,318.473,-42.000,655.986205
25 Sep 2001 17:54:41.00,258.967,-52.124,543.471812
25 Sep 2001 17:55:21.63,222.676,-42.000,655.986205
25 Sep 2001 23:59:19.43,333.133,-42.000,655.986205
26 Sep 2001 00:00:19.00,270.862,-63.047,475.533230
26 Sep 2001 00:01:19.00,206.024,-42.395,650.191171
26 Sep 2001 00:01:20.13,205.593,-42.000,655.986205
26 Sep 2001 01:31:24.26,36.373,-42.000,655.986204
26 Sep 2001 01:32:24.00,97.352,-55.135,520.647760
26 Sep 2001 01:33:12.03,142.009,-42.000,655.986206
26 Sep 2001 15:32:46.76,68.451,-42.000,655.986206
26 Sep 2001 15:33:20.43,97.971,-43.855,629.982877
26 Sep 2001 15:33:38.40,113.220,-42.000,655.986205
26 Sep 2001 17:04:12.30,350.192,-42.000,655.986206
26 Sep 2001 17:05:12.00,298.663,-76.559,432.876798
26 Sep 2001 17:06:12.00,193.616,-47.432,587.471489
26 Sep 2001 17:06:24.72,191.197,-42.000,655.986204
26 Sep 2001 23:10:37.90,297.819,-42.000,655.986205
26 Sep 2001 23:11:37.00,244.798,-42.826,644.032157
